467
-3666 -3500
5724 9169
-642 1478
-5536 -3038
-1855 -4295
6827 -6719
-9509 -39
1942 -7005
-4564 -5173
4604 2391
-9847 -6098
2382 -9708
8716 7421
9895 9718
-8274 -4553
1538 4771
9912 -8131
-3701 -4333
-106 7035
-6189 -1297
333 1322
-5336 7673
-2289 5141
-3132 -1747
-2356 -4453
2757 2662
2859 -9963
-259 -1277
-9222 -2471
-6965 2316
-8158 -7810
106 -9712
-1058 -960
-7352 9264
-6195 -2554
-3271 5890
5350 -5630
1101 5006
-6452 -5607
2623 9629
9954 -5916
1840 8756
-2624 -5034
-3692 3931
2439 6944
1323 -5374
-8462 -4463
-7918 6118
6541 -7071
1115 -5167
-342 -5361
-70 -7296
-7694 3977
-7614 1673
-1255 -4979
9072 -3076
-4171 -3730
5573 -3223
6512 -4903
3290 -6014
8636 -839
-5233 -7645
5574 -6345
2052 -5969
-8850 -2650
-8276 6941
-6570 3966
191 1107
1337 8007
2287 5457
383 -2247
-1091 4945
-242 2209
8588 -5779
-5054 -3578
3030 -2494
-832 6413
2591 -9100
-8345 8762
-3641 7410
-9463 -2376
-3517 -8452
-5959 -2405
-5650 -6398
836 291
1020 -626
-5979 -5404
-6801 -2652
-5516 9668
-5266 -1719
-8001 -9947
-2062 -3582
-6212 -3100
-9533 8127
4893 -6272
-7517 -5352
-7579 7807
-3383 4310
-486 -7187
-2384 4309
7451 8935
-4751 -9400
1556 6519
303 -7202
1008 -3776
2609 -4156
2702 4989
-9515 -6805
4343 -6907
-8413 523
-497 -686
-4800 -2552
-3382 3458
9796 -9420
5281 4798
-9202 9589
-2843 -1991
-6378 -9528
2292 8538
-5821 -3962
-343 8190
-3809 -2042
-7112 9815
1511 9156
-7366 6202
-9945 -5728
-7354 -9672
-5114 -3638
-1567 8875
-9858 -131
-8584 -6156
1998 -8119
8651 322
-4301 21
-1524 -6443
-5611 -2108
712 -4925
-7490 -7400
-3131 -8997
4688 7861
-211 3401
6423 5255
585 -4998
285 -5818
1426 -2912
-6243 -1383
932 -168
-7846 -5831
7189 -4279
1329 9976
-1308 -7632
555 -8575
6549 -6566
-488 -2559
8060 145
-6247 -8282
2423 6139
-4004 6279
2529 6687
7437 -7451
2949 9866
-6805 -9807
-9584 -6703
6105 -1714
6282 -5512
-4266 2455
1701 8114
-9329 1316
2263 -4214
-5645 -5687
-9947 1185
808 -9088
-9055 -8168
-2244 -5687
9558 -1679
-2018 -6354
-5856 -9519
-9778 -6804
-7839 -2871
-9550 -4465
466 1173
-8341 2044
-3561 -3708
-9976 7253
-490 -3846
-9351 -5255
-1687 3186
-1978 -5526
4018 -7832
-95 8787
-2609 7958
-6375 202
-5586 -3523
-4176 -686
-4126 -666
-9841 -5628
-1930 1833
-1703 -2513
-1823 -2482
2270 7773
-7332 -8237
3985 7192
-1520 -6898
-2373 -787
-5901 -5198
-7375 527
-8076 -8457
-28 1023
4181 3061
-2568 1003
-2407 7505
3031 -7275
-9858 -1508
1286 7222
-2100 3064
-1640 9187
974 -7587
-830 4270
833 -9765
-4240 9711
-5333 8896
2550 -2715
3694 -9860
-8376 -7305
-7875 -1981
-8306 -3424
-3698 -7342
-7534 7371
-7407 -5322
-4516 -6149
-1536 -8982
-6848 -8881
8087 -7200
-8074 1060
-5243 -990
-9685 2170
227 -424
-7242 2043
-4891 -2836
7086 -2118
-6513 -435
4474 -423
-4373 -7375
1928 -4371
-1480 -4577
4962 -3098
-5404 -9877
3261 -6263
2525 195
-1740 -8736
-1884 -3798
-9674 -4970
771 -989
-4453 -3589
-8480 -8847
4924 -210
-8237 188
-9149 -5060
3829 8662
7713 900
7578 8958
3007 -1635
-8800 1477
-3561 -3942
2760 -7697
-7676 9357
-4892 -3523
4887 -8887
-7150 9801
-7572 4460
-2616 2993
-3460 9405
-1296 1111
2356 2835
-650 -3928
4485 8823
-6784 -9444
-643 -8374
3357 -1474
-6729 -663
-639 -6131
3022 2896
112 -383
8696 2717
-5959 1585
-5871 -5577
-5435 -5771
-1068 -3441
-145 -7704
6962 2053
-266 -6416
6972 -3346
4369 -8543
-7037 -7468
-7517 -7393
1635 -9089
-7152 67
2938 -5325
-7858 -7777
-3489 -6246
-9825 -7259
7825 -8541
7870 -6779
1934 -8374
1783 5205
7398 -6150
-7299 -7721
2734 2193
-3466 -8363
-8007 -4444
-4295 176
548 -3038
-9700 5881
6641 4413
-5145 9855
1462 3142
877 -2389
2678 -9576
8443 -8248
2673 -1704
-687 40
-9928 -9125
-9390 2818
4932 -8983
695 -1888
-6169 3169
-3512 -9960
9090 -1315
-7411 9497
5145 -4010
9314 9353
-3260 8651
1258 -7956
-1241 -9665
-2395 1192
2181 -4736
-6171 -1497
-9392 -6225
-4003 -708
-444 7549
1627 -4439
-459 -3533
1240 -3871
-826 -2187
-3923 -9399
-1317 -9785
-6008 -1787
-4399 -4176
5759 -6608
-3572 -7330
-5916 -1973
8786 75
-5030 5498
-6153 -3713
-9497 2604
-7337 -8779
-7637 -4294
-7829 -990
8240 -2511
-4458 2164
-9087 -2381
-3296 -2409
-768 1818
-4795 -9250
-8461 -5025
1422 -9697
1247 -8902
3648 3584
7864 -7029
1075 -7087
-1288 -8455
8678 7546
5262 -8231
3985 -1481
5944 -1711
8540 -7135
-4492 -6755
-2130 -1682
-1677 -399
-5528 -8868
-4913 -2848
-237 -1430
7103 -99
-6473 4423
-3031 1600
-4435 4015
-8457 -9972
-7912 -4653
2637 -7057
-3537 -7591
-5319 -4951
1342 -8412
2060 -9392
-8242 -8779
-9112 -46
-9310 4146
2843 -2051
-4380 -8570
-2933 -9252
-9217 -5464
2226 8035
-2962 5185
-4371 -147
5748 1224
-6641 9923
-5234 2257
4955 -5056
2726 -6682
-8975 -4589
1001 -9645
-504 -7451
-485 8584
-6658 7964
7913 -1925
1196 6142
-4928 -8052
4606 -9574
-5571 -3827
-3295 2404
-188 -9374
93 9375
6036 6565
-859 4736
-4006 814
-3348 -1744
838 -6064
-8645 -9518
-8869 -8985
7841 8230
-7989 4625
-5814 2637
-8350 9690
-8366 -4338
353 893
3452 -8584
-2738 4008
-4546 -7767
6634 6303
4256 -3697
1124 -9852
-5787 2317
-5972 -2891
-8920 -800
6858 -8682
-5845 -5950
5264 1361
-6324 1903
-3091 -357
-6439 4902
-5052 -1511
3653 -8718
-7780 674
-3077 -4598
9369 -6169
-9741 -6122
-7381 9008
3 -6029
-219 -8055
2392 -3496
-4687 2685
-4411 -3302
-4062 2722
-3590 9037
-3766 1461
-39 2508
-3507 -6041
-4731 -8485
-1131 -5063
58
4700 3971
5117 -3736
-5445 6215
8330 -2185
212 -6961
-1918 -712
6085 -8046
-5516 -9290
-1620 -5226
-4049 -185
8115 -3459
7110 -8321
-6927 -4102
-6023 -9212
-44 8132
-3887 -1311
2941 8
-8277 5790
-9972 -8637
-5222 -4816
-4929 -2800
-8026 -8115
1333 -8929
-3847 -7133
2168 4295
-324 -9175
-1350 5629
-6691 -7402
-5314 -5307
116 80
-3333 2249
-3321 -8472
-579 -2136
-1174 -1595
-2484 -3184
-1334 -2274
-2319 -913
-8660 9964
-3979 -4314
4721 1662
-691 -3936
7902 -9585
7124 -127
2745 -6059
-1577 1762
-5194 -2469
-682 2268
1907 -4398
-6519 -5693
-8864 -8988
-5886 -3370
-5916 -3191
2290 -6444
-4 -8707
-8946 -848
4708 -4655
-2509 -9752
-4869 3712
6439 114
958
-5278 -296
-8948 -3005
-2521 -4731
-3577 8238
866 -2082
2498 7659
-8804 -1514
-3367 -2538
2022 2158
8392 -8854
-6075 3037
-542 647
807 -3398
-2170 -5902
